WKN;link_Hauptseite
A1EWWW;https://www.ariva.de/adidas-aktie
840400;https://www.ariva.de/allianz-aktie
BASF11;https://www.ariva.de/basf-aktie
BAY001;https://www.ariva.de/bayer-aktie
519000;https://www.ariva.de/bmw-aktie
543900;https://www.ariva.de/bmw-aktie
606214;https://www.ariva.de/covestro-aktie
710000;https://www.ariva.de/daimler-aktie
A2E4K4;https://www.ariva.de/delivery_hero-aktie
514000;https://www.ariva.de/deutsche_bank-aktie
581005;https://www.ariva.de/deutsche_Börse-aktie
555200;https://www.ariva.de/deutsche_post-aktie
555750;https://www.ariva.de/deutsche_Telekom-aktie
A0HN5C;https://www.ariva.de/deutsche_Wohnen-aktie
ENAG99;https://www.ariva.de/e-on-aktie
578580;https://www.ariva.de/fresenius_medical_care-aktie
578560;https://www.ariva.de/fresenius-aktie
604700;https://www.ariva.de/heidelbergcement-aktie
604843;https://www.ariva.de/henkel-aktie
623100;https://www.ariva.de/infineon-aktie
A3D7VW;https://www.ariva.de/linde_plc-aktie
659990;https://www.ariva.de/merck-aktie
A0D9PT;https://www.ariva.de/mtu_aero_engines-aktie
843002;https://www.ariva.de/munich_re-aktie
703712;https://www.ariva.de/rwe-aktie
716460;https://www.ariva.de/sap-aktie
723610;https://www.ariva.de/siemens-aktie
ENER6Y;https://www.ariva.de/siemens_energie-aktie
766403;https://www.ariva.de/volkswagen_vz-aktie
A1ML7J;https://www.ariva.de/vonovia-aktie
554550;https://www.ariva.de/1-1-aktie
515870;https://www.ariva.de/bechtle-aktie
541910;https://www.ariva.de/cancom-aktie
531370;https://www.ariva.de/carl_zeis_meditec-aktie
A28890;https://www.ariva.de/-aktie
555063;https://www.ariva.de/-aktie
565970;https://www.ariva.de/eckert-ziegler-aktie
566480;https://www.ariva.de/evotec-aktie
A0Z2ZZ;https://www.ariva.de/freenet-aktie
A2NB60;https://www.ariva.de/jenoptik-aktie
645000;https://www.ariva.de/lpkf_laser-aktie
663200;https://www.ariva.de/morphosys-aktie
645290;https://www.ariva.de/nemetschek-aktie
A0D655;https://www.ariva.de/nordex-aktie
691660;https://www.ariva.de/pfeiffer_vacuum-aktie
A0X9EJ;https://www.ariva.de/s-t-aktie
716563;https://www.ariva.de/sartorius_vz-aktie
SHL100;https://www.ariva.de/siemens_healthineers-aktie
WAF300;https://www.ariva.de/siltronic-aktie
A2GS40;https://www.ariva.de/software_ag_o-n-aktie
A2YN90;https://www.ariva.de/teamviewer-aktie
A1J5RX;https://www.ariva.de/telefonica_deutschland_holding-aktie
508903;https://www.ariva.de/united_internet-aktie
A0TGJ5;https://www.ariva.de/varta-aktie
A0WMPJ;https://www.ariva.de/aixtron_se-aktie
A0LD2U;https://www.ariva.de/alstria_office_reit-aktie
A2DW8Z;https://www.ariva.de/aroundtown_sa-aktie
676650;https://www.ariva.de/aurubis-aktie
520000;https://www.ariva.de/beiersdorf-aktie
A1DAHH;https://www.ariva.de/brenntag-aktie
CBK100;https://www.ariva.de/commerzbank-aktie
547030;https://www.ariva.de/cts_eventim-aktie
823212;https://www.ariva.de/lufthansa-aktie
556520;https://www.ariva.de/d%C3%BCrr-aktie
609500;https://www.ariva.de/encavis-aktie
EVNK01;https://www.ariva.de/evonik_industries-aktie
577330;https://www.ariva.de/fraport-aktie
A3E5D6;https://www.ariva.de/fuchs_petrolub_vz-aktie
660200;https://www.ariva.de/gea_group-aktie
A0LD6E;https://www.ariva.de/gerresheimer-aktie
A1JXCV;https://www.ariva.de/grand_city_properties-aktie
840221;https://www.ariva.de/hannover_r%C3%BCck-aktie
A13SX2;https://www.ariva.de/hella-kgaa-hueck-co-aktie
A16140;https://www.ariva.de/hellofresh-aktie
607000;https://www.ariva.de/hochtief-aktie
A1PHFF;https://www.ariva.de/hugo_boss-aktie
KSAG88;https://www.ariva.de/k-s-6-aktie
KGX888;https://www.ariva.de/kion_group-aktie
KBX100;https://www.ariva.de/knorr-bremse-aktie
547040;https://www.ariva.de/lanxess-aktie
LEG111;https://www.ariva.de/leg_immobilien-aktie
PAH003;https://www.ariva.de/porsche-aktie
PSM777;https://www.ariva.de/prosiebensat-1_media-aktie
696960;https://www.ariva.de/puma-aktie
A2DKCH;https://www.ariva.de/qiagen-aktie
701080;https://www.ariva.de/rational-aktie
703000;https://www.ariva.de/rheinmetall-aktie
A12DM8;https://www.ariva.de/scout24-aktie
A2AR94;https://www.ariva.de/shop_apotheke_europe-aktie
749399;https://www.ariva.de/str%C3%B6er-aktie
SYM999;https://www.ariva.de/symrise-aktie
830350;https://www.ariva.de/tag_immobilien-aktie
750000;https://www.ariva.de/thyssenkrupp-aktie
UNSE01;https://www.ariva.de/uniper-aktie
WCH888;https://www.ariva.de/wacker_chemie-aktie
ZAL111;https://www.ariva.de/zalando-aktie
540811;https://www.ariva.de/aareal_bank-aktie
A19L3U;https://www.ariva.de/ado_properties-aktie
510300;https://www.ariva.de/adva_optical_network-aktie
509310;https://www.ariva.de/amadeus_fire-aktie
519406;https://www.ariva.de/baywa-aktie
A2H5Z1;https://www.ariva.de/befesa-aktie
590900;https://www.ariva.de/bilfinger-aktie
549309;https://www.ariva.de/bilfinger-aktie
725750;https://www.ariva.de/ceconomy_st-aktie
540390;https://www.ariva.de/cewe_stiftung-aktie
A141J3;https://www.ariva.de/corestate_capital_holding-aktie
A2GS5D;https://www.ariva.de/dermapharm_holding-aktie
748020;https://www.ariva.de/deutsche_euroshop-aktie
801900;https://www.ariva.de/deutsche_pfandbriefbank-aktie
630500;https://www.ariva.de/deutz-aktie
A1X3XX;https://www.ariva.de/dic_asset-aktie
DWS100;https://www.ariva.de/dws-aktie
785602;https://www.ariva.de/elringklinger-aktie
577220;https://www.ariva.de/fielmann-aktie
FTG111;https://www.ariva.de/flatexdegiro-aktie
A2PLUG;https://www.ariva.de/global_fashion_group-aktie
A161N3;https://www.ariva.de/grenke-aktie
A3H233;https://www.ariva.de/hamborner_reit-aktie
A0S848;https://www.ariva.de/hhla-aktie
HAG000;https://www.ariva.de/hensoldt-aktie
A14KEB;https://www.ariva.de/home24-aktie
608340;https://www.ariva.de/hornbach_holding-aktie
549336;https://www.ariva.de/hypoport-aktie
620010;https://www.ariva.de/indus_holding-aktie
A2NBX8;https://www.ariva.de/instone_real_estate_group-aktie
JST400;https://www.ariva.de/jost_werke-aktie
621993;https://www.ariva.de/jungheinrich_vz-aktie
KC0100;https://www.ariva.de/kl%C3%B6ckner-aktie
719350;https://www.ariva.de/koenig-bauer-aktie
633500;https://www.ariva.de/krones-aktie
707400;https://www.ariva.de/kws_saat-aktie
540888;https://www.ariva.de/leoni-aktie
A1MMCC;https://www.ariva.de/medios-aktie
BFB001;https://www.ariva.de/metro_st-aktie
NWRK01;https://www.ariva.de/new_work-aktie
A1H8BV;https://www.ariva.de/norma_group-aktie
LED400;https://www.ariva.de/osram_licht-aktie
PAT1AG;https://www.ariva.de/patrizia-aktie
861149;https://www.ariva.de/rtl_group-aktie
SAFH00;https://www.ariva.de/saf_holland-aktie
620200;https://www.ariva.de/salzgitter-aktie
SHA015;https://www.ariva.de/schaeffler-aktie
723530;https://www.ariva.de/sgl_carbon-aktie
723132;https://www.ariva.de/sixt_st-aktie
A0DJ6J;https://www.ariva.de/sma_solar_technology-aktie
STAB1L;https://www.ariva.de/stabilus-aktie
STRA55;https://www.ariva.de/stratec-aktie
729700;https://www.ariva.de/s%C3%BCdzucker-aktie
A1K023;https://www.ariva.de/suess_microtec-aktie
744600;https://www.ariva.de/takkt-aktie
TLX100;https://www.ariva.de/talanx-aktie
TRAT0N;https://www.ariva.de/traton-aktie
A0JL9W;https://www.ariva.de/verbio_vereinigte_bioenergie-aktie
766710;https://www.ariva.de/vossloh-aktie
WACK01;https://www.ariva.de/wacker_neuson-aktie
A2N4H0;https://www.ariva.de/westwing_group-aktie
ZEAL24;https://www.ariva.de/zeal_network-aktie
511170;https://www.ariva.de/zooplus-aktie
A2ASUV;https://www.ariva.de/anheuser-busch-aktie
A0M46B;https://www.ariva.de/iberdrola-aktie
A2JNF4;https://www.ariva.de/adyen-aktie
A1CXN0;https://www.ariva.de/amadeus_it_group_s-a-aktie
A1J4U4;https://www.ariva.de/asml_holding-aktie
858872;https://www.ariva.de/banco_santander-aktie
887771;https://www.ariva.de/bnp_paribas-aktie
851194;https://www.ariva.de/danone-aktie
A0ER6Q;https://www.ariva.de/engie-aktie
863195;https://www.ariva.de/essilorluxottica-aktie
A11873;https://www.ariva.de/inditex-aktie
A2ANV3;https://www.ariva.de/ing_groep-aktie
851223;https://www.ariva.de/kering_s-a-aktie
A0ET4X;https://www.ariva.de/kone-aktie
A2ANT0;https://www.ariva.de/ahold_delhaize-aktie
853888;https://www.ariva.de/l%27or%C3%A9al-aktie
853373;https://www.ariva.de/pernod-ricard-aktie
A2PRDK;https://www.ariva.de/prosus-aktie
924781;https://www.ariva.de/safran-aktie
591068;https://www.ariva.de/vivendi-aktie
851745;https://www.ariva.de/3m-aktie
850226;https://www.ariva.de/american_express-aktie
867900;https://www.ariva.de/amgen-aktie
865985;https://www.ariva.de/apple-aktie
850471;https://www.ariva.de/boeing-aktie
850598;https://www.ariva.de/caterpillar-aktie
852552;https://www.ariva.de/chevron-aktie
878841;https://www.ariva.de/cisco_systems-aktie
850663;https://www.ariva.de/coca-cola-aktie
A2PFRC;https://www.ariva.de/dow-aktie
920332;https://www.ariva.de/goldman_sachs-aktie
866953;https://www.ariva.de/home_depot-aktie
870153;https://www.ariva.de/honeywell_international-aktie
855681;https://www.ariva.de/intel-aktie
853260;https://www.ariva.de/johnson-johnson-aktie
850628;https://www.ariva.de/jp_morgan_chase-aktie
856958;https://www.ariva.de/mcdonald%27s-aktie
A0YD8Q;https://www.ariva.de/merck-co-aktie
870747;https://www.ariva.de/microsoft-aktie
866993;https://www.ariva.de/nike_b-aktie
852062;https://www.ariva.de/procter-gamble-aktie
A0B87V;https://www.ariva.de/salesforce-com-aktie
A0MLX4;https://www.ariva.de/travelers_companies-aktie
869561;https://www.ariva.de/unitedhealth_group-aktie
868402;https://www.ariva.de/verizon-aktie
A0NC7B;https://www.ariva.de/visa-aktie
A12HJF;https://www.ariva.de/walgreens_boots_alliance-aktie
860853;https://www.ariva.de/walmart-aktie
855686;https://www.ariva.de/walt_disney-aktie
A0Q4K4;https://www.ariva.de/activision_blizzard-aktie
871981;https://www.ariva.de/adobe-aktie
863186;https://www.ariva.de/amd-aktie
590375;https://www.ariva.de/align_technology-aktie
906866;https://www.ariva.de/amazon-aktie
862485;https://www.ariva.de/analog_devices-aktie
901492;https://www.ariva.de/ansys-aktie
865177;https://www.ariva.de/applied_materials-aktie
A1J85V;https://www.ariva.de/asml_holding_adr-aktie
A3DUN5;https://www.ariva.de/atlassian-aktie
869964;https://www.ariva.de/autodesk-aktie
850347;https://www.ariva.de/automatic_data_processing-aktie
A0F5DE;https://www.ariva.de/baidu_adr-aktie
A2JG9Z;https://www.ariva.de/broadcom-aktie
873567;https://www.ariva.de/cadence_design_systems-aktie
892807;https://www.ariva.de/cerner-aktie
A2AJX9;https://www.ariva.de
901638;https://www.ariva.de/check_point_software-aktie
880205;https://www.ariva.de/cintas-aktie
915272;https://www.ariva.de/cognizant-aktie
157484;https://www.ariva.de/comcast-aktie
893807;https://www.ariva.de/copart-aktie
888351;https://www.ariva.de/costco_wholesale-aktie
865857;https://www.ariva.de/csx-aktie
A0D9T1;https://www.ariva.de/dexcom-aktie
A2JHLZ;https://www.ariva.de/docusign-aktie
A0NFQC;https://www.ariva.de/dollar_tree-aktie
916529;https://www.ariva.de/ebay-aktie
878372;https://www.ariva.de/electronic_arts-aktie
852011;https://www.ariva.de/exelon-aktie
A1JWVX;https://www.ariva.de/meta_platforms-aktie
887891;https://www.ariva.de/fastenal-aktie
881793;https://www.ariva.de/fiserv-aktie
A2PF3K;https://www.ariva.de/fox_corp_a-aktie
A2PF3T;https://www.ariva.de/fox_corp_b-aktie
885823;https://www.ariva.de/gilead_sciences-aktie
888210;https://www.ariva.de/idexx_laboratories-aktie
927079;https://www.ariva.de/illumina-aktie
896133;https://www.ariva.de/incyte-aktie
886053;https://www.ariva.de/intuit-aktie
888024;https://www.ariva.de/intuitive_surgical-aktie
A112ST;https://www.ariva.de/jd-com_a_adr-aktie
A2JQPZ;https://www.ariva.de/keurig_dr_pepper-aktie
865884;https://www.ariva.de/kla-tencor-aktie
A14TU4;https://www.ariva.de/kraft_heinz_company-aktie
869686;https://www.ariva.de/lam_research-aktie
A0MXBY;https://www.ariva.de/lululemon_athletica-aktie
913070;https://www.ariva.de/marriott_international-aktie
A3CNLD;https://www.ariva.de/marvell_technology_group-aktie
A2P75D;https://www.ariva.de/match_group-aktie
876158;https://www.ariva.de/maxim_integrated_products-aktie
A0MYNP;https://www.ariva.de/mercadolibre-aktie
886105;https://www.ariva.de/microchip_technology-aktie
869020;https://www.ariva.de/micron_technology-aktie
A2N9D9;https://www.ariva.de/moderna-aktie
A1J4U0;https://www.ariva.de/mondelez_international-aktie
A14U5Z;https://www.ariva.de/monster_beverage-aktie
501822;https://www.ariva.de/netease_adr-aktie
552484;https://www.ariva.de/netflix-aktie
918422;https://www.ariva.de/nvidia-aktie
A1C5WJ;https://www.ariva.de/nxp_semiconductors-aktie
A1H5JY;https://www.ariva.de/o%27reilly_automotive-aktie
A2DNKR;https://www.ariva.de/okta-aktie
861114;https://www.ariva.de/paccar-aktie
868284;https://www.ariva.de/paychex-aktie
A14R7U;https://www.ariva.de/paypal_holdings-aktie
A2PR0M;https://www.ariva.de/peloton_interactive-aktie
851995;https://www.ariva.de/pepsico-aktie
A2JRK6;https://www.ariva.de/pinduoduo-aktie
883121;https://www.ariva.de/qualcomm-aktie
881535;https://www.ariva.de/regeneron_pharmaceuticals-aktie
870053;https://www.ariva.de/ross_stores-aktie
A2QFAQ;https://www.ariva.de/seagen-aktie
A1W8XE;https://www.ariva.de/sirius_xm_holdings-aktie
857760;https://www.ariva.de/skyworks_solutions-aktie
A1JV4H;https://www.ariva.de/splunk-aktie
884437;https://www.ariva.de/starbucks-aktie
883703;https://www.ariva.de/synopsys-aktie
A1T7LU;https://www.ariva.de/t-mobile_us-aktie
852654;https://www.ariva.de/texas_instruments-aktie
A2PUXF;https://www.ariva.de/trip-com_group_ltd_sp_adr-aktie
911090;https://www.ariva.de/verisign-aktie
A0YA2M;https://www.ariva.de/verisk_analytics-aktie
882807;https://www.ariva.de/vertex_pharmaceuticals-aktie
A1J39P;https://www.ariva.de/workday-aktie
855009;https://www.ariva.de/xcel_energy-aktie
880135;https://www.ariva.de/xilinx-aktie
A2PGJ2;https://www.ariva.de/zoom_video_communications_a-aktie
850103;https://www.ariva.de/abbott_laboratories-aktie
A1J84E;https://www.ariva.de/abbvie-aktie
873886;https://www.ariva.de/abiomed-aktie
A0YAQA;https://www.ariva.de/accenture-aktie
982516;https://www.ariva.de/advance_auto_parts-aktie
882177;https://www.ariva.de/aes-aktie
853081;https://www.ariva.de/aflac-aktie
929138;https://www.ariva.de/agilent_technologies-aktie
854912;https://www.ariva.de/air_products-chemicals-aktie
928906;https://www.ariva.de/akamai_technologies-aktie
869843;https://www.ariva.de/alaska_air_group-aktie
890167;https://www.ariva.de/albemarle-aktie
907179;https://www.ariva.de/alexandria_real_estate-aktie
899527;https://www.ariva.de/alexion_pharmaceuticals-aktie
A1W869;https://www.ariva.de/allegion-aktie
855870;https://www.ariva.de/alliant_energy-aktie
886429;https://www.ariva.de/allstate-aktie
A14Y6F;https://www.ariva.de/alphabet_a-aktie
A14Y6H;https://www.ariva.de/alphabet_c-aktie
200417;https://www.ariva.de/altria_group-aktie
A2PKFL;https://www.ariva.de/amcor_plc-aktie
911535;https://www.ariva.de/ameren-aktie
A1W97M;https://www.ariva.de/american_airlines-aktie
850222;https://www.ariva.de/american_electric_power-aktie
A0X88Z;https://www.ariva.de/aig-aktie
A1JRLA;https://www.ariva.de/american_tower-aktie
A0NJ38;https://www.ariva.de/american_water_works-aktie
A0F55S;https://www.ariva.de/ameriprise_financial-aktie
766149;https://www.ariva.de/amerisourcebergen-aktie
908668;https://www.ariva.de/ametek-aktie
882749;https://www.ariva.de/amphenol-aktie
A12FMV;https://www.ariva.de/anthem-aktie
A2P2JR;https://www.ariva.de/aon_plc_a_________dl_-01-aktie
A2QQVE;https://www.ariva.de/apa_corp-aktie
A1JPLB;https://www.ariva.de/aptiv-aktie
854161;https://www.ariva.de/archer-daniels-midland-aktie
A11099;https://www.ariva.de/arista_networks-aktie
869761;https://www.ariva.de/gallagher-aktie
A0BLRP;https://www.ariva.de/assurant-aktie
A0HL9Z;https://www.ariva.de/at-t-aktie
868746;https://www.ariva.de/atmos_energy-aktie
881531;https://www.ariva.de/autozone-aktie
914867;https://www.ariva.de/avalonbay_communities-aktie
850354;https://www.ariva.de/avery_dennison-aktie
A2DUAY;https://www.ariva.de/baker_hughes-aktie
860408;https://www.ariva.de/ball-aktie
858388;https://www.ariva.de/bank_of_america-aktie
A0MVKA;https://www.ariva.de/bank_of_new_york_mellon-aktie
853815;https://www.ariva.de/baxter_international-aktie
857675;https://www.ariva.de/becton_dickinson-aktie
A0YJQ2;https://www.ariva.de/berkshire_hathaway_b-aktie
873629;https://www.ariva.de/best_buy-aktie
865406;https://www.ariva.de/bio-rad_laboratories_a-aktie
789617;https://www.ariva.de/biogen-aktie
928193;https://www.ariva.de/blackrock-aktie
A2JEXP;https://www.ariva.de/booking_holdings-aktie
887320;https://www.ariva.de/borgwarner-aktie
907550;https://www.ariva.de/boston_properties-aktie
884113;https://www.ariva.de/boston_scientific-aktie
850501;https://www.ariva.de/bristol-myers_squibb-aktie
A0MMP1;https://www.ariva.de/broadridge_financial_solutions-aktie
856693;https://www.ariva.de/brown-forman_b-aktie
A0HGF5;https://www.ariva.de/c-h-_robinson_worldwide-aktie
881646;https://www.ariva.de/cabot_oil-gas-aktie
A2P92E;https://www.ariva.de/caesars_entertainment_inc-aktie
850561;https://www.ariva.de/campbell_soup_company-aktie
893413;https://www.ariva.de/capital_one_financial-aktie
880206;https://www.ariva.de/cardinal_health-aktie
662604;https://www.ariva.de/carmax-aktie
120100;https://www.ariva.de/carnival_corporation-aktie
A2P1UY;https://www.ariva.de/carrier_global-aktie
A112H2;https://www.ariva.de/catalent-aktie
A1CZTX;https://www.ariva.de/cboe_global_markets-aktie
A1JLYH;https://www.ariva.de/cbre_group_a-aktie
A1W0KL;https://www.ariva.de/cdw-aktie
A0DP2A;https://www.ariva.de/celanese-aktie
766458;https://www.ariva.de/centene-aktie
854566;https://www.ariva.de/centerpoint_energy-aktie
A0ES9N;https://www.ariva.de/cf_industries_holdings-aktie
874171;https://www.ariva.de/charles_schwab-aktie
A0ESP5;https://www.ariva.de/chipotle_mexican_grill-aktie
A0Q636;https://www.ariva.de/chubb-aktie
864371;https://www.ariva.de/church-dwight-aktie
A2PA9L;https://www.ariva.de/cigna-aktie
878440;https://www.ariva.de/cincinnati_financial-aktie
A1H92V;https://www.ariva.de/citigroup-aktie
A12BD3;https://www.ariva.de/citizens_financial_group-aktie
898407;https://www.ariva.de/citrix_systems-aktie
856678;https://www.ariva.de/clorox-aktie
A0MW32;https://www.ariva.de/cme_group-aktie
850795;https://www.ariva.de/cms_energy-aktie
850667;https://www.ariva.de/colgate-palmolive-aktie
864861;https://www.ariva.de/comerica-aktie
861259;https://www.ariva.de/conagra_brands-aktie
575302;https://www.ariva.de/conocophillips-aktie
911563;https://www.ariva.de/consolidated_edison-aktie
871918;https://www.ariva.de/constellation_brands_a-aktie
867409;https://www.ariva.de/cooper_companies-aktie
850808;https://www.ariva.de/corning-aktie
A2PKRR;https://www.ariva.de/corteva-aktie
A12GN3;https://www.ariva.de/crown_castle_international-aktie
853121;https://www.ariva.de/cummins-aktie
859034;https://www.ariva.de/cvs_health-aktie
866197;https://www.ariva.de/danaher-aktie
895738;https://www.ariva.de/darden_restaurants-aktie
897914;https://www.ariva.de/davita-aktie
850866;https://www.ariva.de/deere-company-aktie
A0MQV8;https://www.ariva.de/delta_air_lines-aktie
A2AF0E;https://www.ariva.de/dentsply_international-aktie
925345;https://www.ariva.de/devon_energy-aktie
A1J6Y4;https://www.ariva.de/diamondback_energy-aktie
A0DLFT;https://www.ariva.de/digital_realty_trust-aktie
A0MUES;https://www.ariva.de/discover_financial_services-aktie
 A3DJQZ;https://www.ariva.de/discovery_a-aktie
A0Q90J;https://www.ariva.de/discovery_c-aktie
A0NBN0;https://www.ariva.de/dish_network-aktie
A0YEES;https://www.ariva.de/dollar_general_corporation-aktie
932798;https://www.ariva.de/dominion_energy-aktie
A0B6VQ;https://www.ariva.de/domino%27s_pizza-aktie
853707;https://www.ariva.de/dover-aktie
884312;https://www.ariva.de/d-r-_horton-aktie
853943;https://www.ariva.de/dte_energy_company-aktie
A1J0EV;https://www.ariva.de/duke_energy-aktie
887674;https://www.ariva.de/duke_realty-aktie
A2PLC7;https://www.ariva.de/dupont_de_nemours_inc-aktie
A2DM8U;https://www.ariva.de/dxc_technology_company-aktie
889082;https://www.ariva.de/eastman_chemical_company-aktie
